State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Village Code,Pincode,Category,Status
Tamil Nadu,Tirunelveli,592,Radhapuram,5880,Therkku Vallioor Part 2,,933615,627117,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Cheranmahadevi,6648,Therkku Veeravanallur Part 2,,933470,627426,Rural,Inhabitant
Tamil Nadu,Sivaganga,585,Manamadurai,5833,Therkkuchandanur,,640420,630609,Rural,Inhabitant
Tamil Nadu,Thiruvarur,590,Muthupettai,7408,Therkkukadu,தெற்குகாடு,932305,614706,Urban,Inhabitant
Tamil Nadu,Thiruvarur,590,Muthupettai,7408,Therkkunanallur,,638307,614710,Rural,Inhabitant
Tamil Nadu,Thiruvarur,590,Valangaiman,5803,Therkkupattam,,637877,612802,Rural,Inhabitant
Tamil Nadu,Tenkasi,733,Tenkasi,5873,Therku Kadayam,,642935,627415,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Ambasamudram,5878,Therku Kallidaikurichi Part 1,,642974,627416,Rural,Inhabitant
Tamil Nadu,Thoothukkudi,594,Kayathar,6628,Therku Kalugumalai,,642178,628552,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Cheranmahadevi,6648,Therku Karaikurichi,,642980,627417,Rural,Inhabitant
Tamil Nadu,Thoothukkudi,594,Kayathar,6628,Therku Mylodai,,642224,628714,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Nanguneri,5879,Therku Nanguneri,,643036,627108,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Radhapuram,5880,Therku Vallioor Part 1,,643069,627117,Rural,Inhabitant
Tamil Nadu,Thoothukkudi,594,Kayathar,6628,Therku Vandanam,,642210,628714,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Cheranmahadevi,6648,Therku Viravanallur Part 1,,642973,627426,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Ambasamudram,5878,Therku Viravanallur R.F.,,642989,627426,Rural,Inhabitant
Tamil Nadu,Virudhunagar,597,Tiruchuli,5852,Therkuariyankulam,,641573,626607,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Thiruvonam,7406,Therkukottai,,638941,614626,Rural,Inhabitant
Tamil Nadu,Tenkasi,733,Tenkasi,5873,Therkumadathur,,642933,627423,Rural,Inhabitant
Tamil Nadu,Cuddalore,570,Kattumannarkoil,5792,Therkumangudi,,636976,608401,Rural,Inhabitant
Tamil Nadu,Virudhunagar,597,Aruppukkottai,5853,Therkunatham,,641692,626114,Rural,Inhabitant
Tamil Nadu,Nagapattinam,579,Thirukkuvalai,5801,Therkupanaiyur,,637766,610207,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Manur,6647,Therkupatti,,642836,627201,Rural,Inhabitant
Tamil Nadu,Madurai,578,Madurai North,5836,Therkupethampatti,,640590,625014,Rural,Inhabitant
Tamil Nadu,Nagapattinam,579,Nagapattinam,5799,Therkupoigainallur,,637703,611111,Rural,Inhabitant
Tamil Nadu,Madurai,578,Melur,5835,Therkutheru,,640534,625122,Rural,Inhabitant
Tamil Nadu,Cuddalore,570,Bhuvanagiri,6645,Therkuthittai,,636797,608601,Rural,Inhabitant
Tamil Nadu,Cuddalore,570,Virudhachalam,5793,Therkuvadakkuputtur,,637192,606110,Rural,Inhabitant
Tamil Nadu,Thoothukkudi,594,Ottapidaram,5865,Therkuveerapandiyapuram,,642445,628002,Rural,Inhabitant
Tamil Nadu,Cuddalore,570,Chidambaram,5791,Therkuviruthangan,,636878,608305,Rural,Inhabitant
Tamil Nadu,Kanniyakumari,575,Agastheeswaram,5884,Theroor,,643168,629704,Rural,Inhabitant
Tamil Nadu,Thiruvallur,589,Gummidipoondi,5693,Theruali,,628585,601201,Rural,Inhabitant
Tamil Nadu,Tiruchirappalli,591,Lalgudi,5777,Therukuchattram,,635949,621218,Rural,Inhabitant
Tamil Nadu,Thiruvallur,589,Gummidipoondi,5693,Thervoy,,628607,601202,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Cheranmahadevi,6648,Thesamnickam,,933473,627452,Unmapped,Inhabitant
Tamil Nadu,Nagapattinam,579,Vedaranyam,5802,Thethakudi North,,637828,614809,Rural,Inhabitant
Tamil Nadu,Nagapattinam,579,Vedaranyam,5802,Thethakudi South,,637830,614809,Rural,Inhabitant
Tamil Nadu,Cuddalore,570,Srimushnam,6646,Thethambattu,,636935,608703,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Paramakudi,5856,Thethangal,,641940,623530,Rural,Inhabitant
Tamil Nadu,Nagapattinam,579,Nagapattinam,5799,Thethi,,637680,611003,Rural,Inhabitant
Tamil Nadu,Salem,584,Mettur,5736,Thethigiripatti,,633761,636451,Rural,Inhabitant
Tamil Nadu,Thiruvarur,590,Kudavasal,5804,Thethiyur,,637934,610107,Rural,Inhabitant
Tamil Nadu,Madurai,578,Vadipatti,5837,Thethoor,,640724,625503,Rural,Inhabitant
Tamil Nadu,Karur,576,Aravakurichi,5768,Thethupatti,,635540,639201,Rural,Inhabitant
Tamil Nadu,Tiruchirappalli,591,Marungapuri,5954,Thethur,,636131,621314,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Cheyyar,5722,Thethurai,,631368,604408,Rural,Inhabitant
Tamil Nadu,Pudukkottai,582,Karambakudi,5825,Thettanviduthy,,639670,622302,Rural,Inhabitant
Tamil Nadu,Dindigul,572,Dindiguleast,5980,Thetthampatti,,635377,624306,Rural,Inhabitant
Tamil Nadu,Perambalur,581,Veppanthattai,5974,Thevaiyur (South),,636179,621115,Rural,Inhabitant
Tamil Nadu,Perambalur,581,Veppanthattai,5974,Thevaiyur(North),,636162,621115,Rural,Inhabitant
Tamil Nadu,Theni,588,Uthamapalayam,5845,Thevaram,,641115,625530,Rural,Inhabitant
Tamil Nadu,Theni,588,Uthamapalayam,5845,Thevaram Hills,,641136,625530,Rural,Inhabitant
Tamil Nadu,Sivaganga,585,Thiruppathur,5829,Thevarambur,,640029,630210,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Manur,6647,Thevarkulam,,642721,627951,Rural,Inhabitant
Tamil Nadu,Nagapattinam,579,Kilvelur,5800,Thevur,,637728,611109,Rural,Inhabitant
Tamil Nadu,Salem,584,Sankari,5739,Thevur,,933012,637105,Urban,Inhabitant
Tamil Nadu,Chennai,568,Tiruvottiyur,5982,Theyambakkam,தீயம்பாக்கம்,952430,600060,Urban,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Vandavasi,5723,Theyyar,,631611,604406,Rural,Inhabitant
Tamil Nadu,Tiruvannamalai,593,Polur,5724,Thiappanandhal,,631690,606907,Rural,Inhabitant
Tamil Nadu,Kanniyakumari,575,Kalkulam,5882,Thickanamcode,திக்கணங்கோடு,932269,629804,Rural,Inhabitant
Tamil Nadu,Sivaganga,585,Devakottai,5831,Thidakkottai,,640197,630303,Rural,Inhabitant
Tamil Nadu,Kanniyakumari,575,Thovala,5883,Thidal,திடல்,932123,629851,Rural,Inhabitant
Tamil Nadu,Madurai,578,Usilampatti,5838,Thidian,,640829,625529,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Palayamkottai,5877,Thidiyur,,642921,627152,Rural,Inhabitant
Tamil Nadu,Erode,573,Thalavadi,6539,Thiginarai,,634781,638461,Rural,Inhabitant
Tamil Nadu,Kanniyakumari,575,Kalkulam,5882,Thikkanamcode (Ct),,643142,629804,Rural,Inhabitant
Tamil Nadu,Virudhunagar,597,Srivilliputhur,5848,Thilakulam,,641248,626138,Rural,Inhabitant
Tamil Nadu,Pudukkottai,582,Avudayarkoil,5828,Thillaivayal,,639912,622204,Rural,Inhabitant
Tamil Nadu,Mayiladuthurai,735,Sirkali,5795,Thillaividangan,,637403,609104,Rural,Inhabitant
Tamil Nadu,Thiruvarur,590,Muthupettai,7408,Thillaivilagam,,638388,614706,Rural,Inhabitant
Tamil Nadu,Mayiladuthurai,735,Tharangambadi,5798,Thillaiyadi,,637603,609310,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Kumbakonam,5811,Thillaiyambur,,638556,612001,Rural,Inhabitant
Tamil Nadu,Krishnagiri,577,Denkanikottai,5892,Thimijapalli,,644017,635113,Rural,Inhabitant
Tamil Nadu,Ranipet,731,Arcot,5716,Thimiri,,933926,632512,Urban,Inhabitant
Tamil Nadu,Thiruvallur,589,Uthukkottai,5695,Thimmaboopalapuram,,628831,602023,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Tirukkoyilur,5732,Thimmachur,,633179,605751,Rural,Inhabitant
Tamil Nadu,Kancheepuram,574,Walajabad,6626,Thimmaiyanpettai,,629711,631601,Rural,Inhabitant
Tamil Nadu,Thanjavur,586,Kumbakonam,5811,Thimmakudi,,638500,612302,Rural,Inhabitant
Tamil Nadu,Kallakurichi,729,Kallakkurichi,5734,Thimmalai,,633431,606206,Rural,Inhabitant
Tamil Nadu,Tirupathur,732,Vaniyambadi,5718,Thimmampettai,,630927,635801,Rural,Inhabitant
Tamil Nadu,Ranipet,731,Wallajah,5714,Thimmanacherikuppam,,630525,632517,Rural,Inhabitant
Tamil Nadu,Namakkal,580,Rasipuram,5746,Thimmanaickenpatti,,634492,636202,Rural,Inhabitant
Tamil Nadu,Dindigul,572,Dindiguleast,5980,Thimmananallur,,635391,624308,Rural,Inhabitant
Tamil Nadu,Madurai,578,Usilampatti,5838,Thimmanatham,,640793,625537,Rural,Inhabitant
Tamil Nadu,Ramanathapuram,583,Kamuthi,5858,Thimmanathapuram,,642046,623115,Rural,Inhabitant
Tamil Nadu,Coimbatore,569,Pollachi,5899,Thimmanguthu,,644547,642005,Rural,Inhabitant
Tamil Nadu,Namakkal,580,Kolli Hills,6625,Thimmanur Rf,,634570,637415,Rural,Inhabitant
Tamil Nadu,Namakkal,580,Kolli Hills,6625,Thimmanur Rf Extension,,634571,637415,Rural,Inhabitant
Tamil Nadu,Chengalpattu,730,Maduranthakam,5710,Thimmapuram,,630107,603201,Rural,Inhabitant
Tamil Nadu,Virudhunagar,597,Kariapatti,5851,Thimmapuram,,641379,626115,Rural,Inhabitant
Tamil Nadu,Krishnagiri,577,Krishnagiri,5891,Thimmapuram-2,திம்மாபுரம்-2,932593,635112,Rural,Inhabitant
Tamil Nadu,Kancheepuram,574,Walajabad,6626,Thimmarajampettai,,629703,631601,Rural,Inhabitant
Tamil Nadu,Tirunelveli,592,Palayamkottai,5877,Thimmarajapuram,,933724,627353,Urban,Inhabitant
Tamil Nadu,Tirunelveli,592,Ambasamudram,5878,Thimmarajasamuthiram,திம்மராஐசமுத்திரம்,932703,627416,Urban,Inhabitant
Tamil Nadu,Tiruchirappalli,591,Srirangam,5778,Thimmaraya Samuthiram,திம்மராயசமுத்திரம்,933150,620005,Urban,Inhabitant
Tamil Nadu,Kancheepuram,574,Kancheepuram,5707,Thimmasamudram,,629629,631502,Rural,Inhabitant
Tamil Nadu,Kancheepuram,574,Kancheepuram,5707,Thimmasamudram,திம்மசமுத்திரம்,915505,631502,Rural,Inhabitant
Tamil Nadu,Kancheepuram,574,Kancheepuram,5707,Thimmasamudram Colony,திம்மசமுத்திரம் காலனி,915506,631502,Rural,Inhabitant
Tamil Nadu,Krishnagiri,577,Pochampalli,5893,Thimminaikampatti,,644135,635206,Rural,Inhabitant
Tamil Nadu,Chengalpattu,730,Tirukalukundram,5709,Thimmur,,629939,603405,Rural,Inhabitant
Tamil Nadu,Perambalur,581,Alathur,5951,Thimmur,,636295,621115,Rural,Inhabitant
Tamil Nadu,Thiruvallur,589,Ponneri,5694,Thinaipakkam,,628702,601204,Rural,Inhabitant
Tamil Nadu,Pudukkottai,582,Manamelkudi,5827,Thinayakudi,,639813,614620,Rural,Inhabitant
Tamil Nadu,Kancheepuram,574,Uthiramerur,5708,Thinayampoondi,,629780,603402,Rural,Inhabitant
Tamil Nadu,Erode,573,Erode,5753,Thindal (Ct),,635079,638012,Urban,Inhabitant
Tamil Nadu,Erode,573,Erode,5753,Thindal M,திண்டல் மு,933244,638012,Urban,Inhabitant
Tamil Nadu,Erode,573,Erode,5753,Thindal V,திண்டல் வி,933239,638012,Urban,Inhabitant
Tamil Nadu,Namakkal,580,Namakkal,5747,Thindamangalam,,634653,637207,Rural,Inhabitant
Tamil Nadu,Madurai,578,Madurai East,5960,Thindiyur,,640665,625107,Rural,Inhabitant
Tamil Nadu,Kanniyakumari,575,Kalkulam,5882,Thingal Nagar,திங்கள்நகர்,932216,629802,Urban,Inhabitant
Tamil Nadu,Erode,573,Perundurai,5752,Thingalur,,634961,638055,Rural,Inhabitant
Tamil Nadu,Erode,573,Sathyamangalam,5749,Thingalur,,634775,638401,Rural,Inhabitant
Tamil Nadu,Erode,573,Sathyamangalam,5749,Thingalur B,திங்களூர் ஆ,932365,638401,Rural,Inhabitant
Tamil Nadu,Dharmapuri,571,Pennagaram,5889,Thinnabellur,,932450,636810,Rural,Inhabitant
Tamil Nadu,Dharmapuri,571,Pappireddipatti,5887,Thinnahalli,,643475,636905,Rural,Inhabitant
