State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Telangana,Suryapet,696,Chinthalapalem,6303,Adlur,అద్లుర్,transliterated,577602,508246,,
Telangana,Medak,513,Narsapur,4488,Admapur,అద్మపూర్,transliterated,573751,502316,,
Telangana,Medchal Malkajgiri,700,Muduchinthalapally,6671,Adraspally,అద్రస్పల్లి,transliterated,574131,500101,,
Telangana,Peddapalli,682,Manthani,4401,Adrial,అద్రిఅల్,transliterated,571788,505212,,
Telangana,Kamareddy,685,Yellareddy,4386,Advilingal,అద్విలింగల్,transliterated,571446,503122,,
Telangana,Nirmal,680,Khanapur,4347,Advisarangapur,అద్విసరంగపూర్,transliterated,570443,504203,,
Telangana,Nalgonda,514,Chityal,4633,Aepoor,అఎపూర్,transliterated,576865,508114,,
Telangana,Nalgonda,514,Madugulapally,6305,Agamothkur,అగమొథ్కుర్,transliterated,577040,508234,,
Telangana,Ranga Reddy,518,Manchal,4547,Agapalle,అగపల్లె,transliterated,574866,501506,,
Telangana,Mahabubabad,688,Danthalapalle,6255,Agapet,అగపెత్,transliterated,578607,506324,,
Telangana,Wanaparthy,693,Ghanpur,4585,Agaram,అగరం,authoritative,575775,509380,,
Telangana,Kumuram Bheem Asifabad,699,Penchicalpet,6313,Agarguda,అగర్గూడ,transliterated,569430,504296,,
Telangana,Kumuram Bheem Asifabad,699,Kerameri,4313,Agarwada,అగర్వాడ,transliterated,569267,504293,,
Telangana,Jagitial,681,Gollapalli,4412,Aggimalla,అగ్గిమల్ల,transliterated,572049,505532,,
Telangana,Ranga Reddy,518,Kondurg,4558,Agiryal,అగిర్యల్,transliterated,575175,509207,,
Telangana,Vikarabad,698,Yelal,4536,Agnoor,అగ్నూర్,transliterated,574504,501144,,
Telangana,Mahabubnagar,512,Rajapur,6261,Agraharam Potlapalle,అగ్రహరమ్ పొత్లపల్లె,transliterated,575123,509202,,
Telangana,Hanumakonda,686,Athmakur,4694,Agrampahad,అగ్రంపహద్,transliterated,578135,506342,,
Telangana,Siddipet,692,Mulug,4486,Agraram,అగ్రరమ్,transliterated,916323,502336,,
Telangana,Siddipet,692,Gajwel,4483,Ahmadipur,అహ్మదిపూర్,transliterated,573620,502278,,
Telangana,Medchal Malkajgiri,700,Keesara,4522,Ahmedguda,అహ్మెద్గూడ,transliterated,574151,500083,,
Telangana,Medak,513,Narsapur,4488,Ahmednagar,అహ్మెద్నగర్,transliterated,573749,502316,,
Telangana,Nizamabad,516,Nandipet,4359,Ailapur,ఐలపూర్,transliterated,570748,503212,,
Telangana,Jagitial,681,Korutla,4416,Ailapur,ఐలపూర్,transliterated,572113,505330,,
Telangana,Suryapet,696,Chivemla,4639,Ailapur,ఐలపూర్,transliterated,576963,508214,,
Telangana,Nalgonda,514,Miryalaguda,4664,Ailapuram,ఐలపురం,transliterated,577493,508208,,
Telangana,Kumuram Bheem Asifabad,699,Dahegoan,4329,Ainam,ఐనమ్,transliterated,569852,504273,,
Telangana,Vikarabad,698,Vikarabad,4530,Ainapur,ఐనపూర్,transliterated,574336,501101,,
Telangana,Vikarabad,698,Doma,4537,Ainapur,ఐనపూర్,transliterated,574563,501502,,
Telangana,Narayanpet,721,Krishna,6264,Ainapur,ఐనపూర్,transliterated,575907,509352,,
Telangana,Siddipet,692,Komuravelli,6284,Ainapur,ఐనపూర్,transliterated,577617,506355,,
Telangana,Warangal,522,Khanapur,4709,Ainepalle,ఐనెపల్లె,transliterated,578379,506132,,
