State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Native Source,Village Code,Pincode,Category,Status
Kerala,Malappuram,562,Tirur,5644,Kottakkal (Ct),കോട്ടക്കൽ (സിടി),transliterated,627527,676503,,
Kerala,Kollam,559,Kollam,5688,Kottamkara (Ct),കോട്ടംകര (സിടി),transliterated,628444,691501,,
Kerala,Thrissur,566,Mukundapuram,5656,Kottanellur,കോട്ടനെല്ലൂർ,transliterated,627907,680662,,
Kerala,Pathanamthitta,564,Mallappally,5680,Kottangal,കോട്ടങ്ങൾ,transliterated,628306,686547,,
Kerala,Wayanad,567,Vythiri,5637,Kottappadi (Part),കോട്ടപ്പാടി (പാർട്ട്),transliterated,627337,673577,,
Kerala,Ernakulam,555,Kothamangalam,5663,Kottappady,കോട്ടപ്പാടി,transliterated,628039,686692,,
Kerala,Kozhikode,561,Vatakara,5638,Kottappally (Ct),കോട്ടപ്പള്ളി (സിടി),transliterated,627363,673542,,
Kerala,Kollam,559,Kollam,5688,Kottappuram,കോട്ടപ്പുറം,authoritative,913836,691301,,
Kerala,Thrissur,566,Talappilly,5652,Kottappuram (Ct),കോട്ടപ്പുറം (സിടി),transliterated,627765,680667,,
Kerala,Kollam,559,Kottarakkara,5687,Kottarakkara (Ct),കൊട്ടാരക്കര (സിടി),transliterated,628430,691506,,
Kerala,Wayanad,567,Vythiri,5637,Kottathara,കോട്ടത്തറ,authoritative,627326,673122,,
Kerala,Palakkad,563,Tribal Taluk Office Attappadi,7176,Kottathara,കോട്ടത്തറ,authoritative,627612,678581,,
Kerala,Kannur,557,Thalassery,5634,Kottayam,കോട്ടയം,authoritative,627279,670643,,
Kerala,Kottayam,560,Kottayam,5670,Kottayam,കോട്ടയം,authoritative,913807,686005,,
Kerala,Palakkad,563,Alathur,5651,Kottayi-I,കോട്ടായി-ഇ,transliterated,627686,678573,,
Kerala,Palakkad,563,Alathur,5651,Kottayi-Ii,കോട്ടായി-ഐ,transliterated,627687,678572,,
Kerala,Kannur,557,Iritty,5937,Kottiyoor,കൊട്ടിയൂർ,authoritative,627257,670651,,
Kerala,Palakkad,563,Mannarkad,5648,Kottoppadam-I,കോട്ടൊപ്പടം-ഇ,transliterated,627606,678583,,
Kerala,Palakkad,563,Mannarkad,5648,Kottoppadam-Iii,കോട്ടൊപ്പടം-ഐ,transliterated,627607,678583,,
Kerala,Thiruvananthapuram,565,Neyyattinkara,5692,Kottukal (Part),കോട്ടുകൾ (പാർട്ട്),transliterated,628537,695501,,
Kerala,Kollam,559,Kottarakkara,5687,Kottukkal,കോട്ടുക്കൽ,authoritative,628423,691306,,
Kerala,Kozhikode,561,Kozhikode,5640,Kottuli,കൊട്ടുളി,transliterated,913298,673016,,
Kerala,Kozhikode,561,Koyilandi,5639,Kottur,കോട്ടൂര്‍,authoritative,627377,673614,,
Kerala,Ernakulam,555,Paravur,5659,Kottuvally (Ct),കോട്ടുവള്ളി (സിടി),transliterated,627990,683519,,
Kerala,Pathanamthitta,564,Kozhenchery,5682,Kozhenchery (Ct),കോഴേഞ്ചേരി (സിടി),transliterated,628342,689641,,
Kerala,Palakkad,563,Chittur,5650,Kozhinjampara,കൊഴിഞ്ഞാമ്പാറ,authoritative,627659,678555,,
Kerala,Kozhikode,561,Koyilandi,5639,Kozhukkallur (Ct),കൊഴുക്കല്ലൂർ (സിടി),transliterated,627391,673524,,
Kerala,Thrissur,566,Thrissur,5654,Kozhukkully (Ct),കൊഴുക്കുള്ളി (സിടി),transliterated,627843,680751,,
Kerala,Wayanad,567,Sulthanbathery,5636,Krishnagiri,കൃഷ്ണഗിരി,transliterated,627316,673591,,
Kerala,Alappuzha,554,Karthikappally,5676,Krishnapuram (Ct),കൃഷ്ണപുരം (സിടി),transliterated,628266,690533,,
Kerala,Kasaragod,558,Manjeswaram,5932,Kubanoor,കുബനൂർ,authoritative,627074,671322,,
Kerala,Kasaragod,558,Manjeswaram,5932,Kudalmarkala,കൂടൽമർക്കള,authoritative,627077,671324,,
Kerala,Thiruvananthapuram,565,Thiruvananthapuram,5691,Kudappanakkunnu (Ct),കുടപ്പനക്കുന്നു (സിടി),transliterated,628515,695043,,
Kerala,Thiruvananthapuram,565,Varkala,5946,Kudavoor,കുടവൂർ,transliterated,628458,695603,,
Kerala,Idukki,556,Thodupuzha,5666,Kudayathoor,കുടയത്തൂർ,authoritative,628101,685590,,
Kerala,Kasaragod,558,Kasaragod,5630,Kudlu (Ct),കുഡ്ലു (സിടി),transliterated,627133,671124,,
Kerala,Kollam,559,Kottarakkara,5687,Kulakkada,കുളക്കട,authoritative,628406,691521,,
Kerala,Pathanamthitta,564,Kozhenchery,5682,Kulanada,കുളനട,authoritative,628322,689503,,
Kerala,Kottayam,560,Vaikom,5669,Kulasekharamangalam,കുലശേഖരമംഗലം,transliterated,628145,686143,,
Kerala,Thiruvananthapuram,565,Neyyattinkara,5692,Kulathoor,കുളത്തൂർ,authoritative,628534,695506,,
Kerala,Thiruvananthapuram,565,Kattakkada,5945,Kulathummal (Ct),കുളത്തുമ്മൽ (സിടി),transliterated,628540,695572,,
Kerala,Kollam,559,Punalur,5947,Kulathupuzha,കുളത്തൂപ്പുഴ,authoritative,628394,691310,,
Kerala,Ernakulam,555,Kanayannur,5661,Kulayettikara,കുലയേറ്റികര,transliterated,628005,682317,,
Kerala,Kasaragod,558,Manjeswaram,5932,Kuloor,കുളൂർ,authoritative,627067,671323,,
Kerala,Palakkad,563,Pattambi,5940,Kulukkallur,കുലുക്കല്ലൂർ,authoritative,627570,679337,,
Kerala,Kottayam,560,Kottayam,5670,Kumarakam,കുമാരകം,transliterated,628166,686563,,
Kerala,Idukki,556,Thodupuzha,5666,Kumaramangalam (Part),കുമാരമംഗലം (പാർട്ട്),transliterated,628084,685605,,
Kerala,Palakkad,563,Mannarkad,5648,Kumaramputhur,കുമാരംപുത്തൂർ,transliterated,627623,678583,,
Kerala,Kozhikode,561,Kozhikode,5640,Kumaranallur,കുമാരനല്ലൂർ,transliterated,627418,673602,,
Kerala,Thrissur,566,Talappilly,5652,Kumaranellur (Ct),കുമാരനെല്ലൂർ (സിടി),transliterated,627767,680590,,
Kerala,Alappuzha,554,Karthikappally,5676,Kumarapuram (Ct),കുമാരപുരം (സിടി),transliterated,628257,690548,,
Kerala,Kasaragod,558,Kasaragod,5630,Kumbadaje,കുമ്പഡാജെ,authoritative,627107,671551,,
Kerala,Ernakulam,555,Kanayannur,5661,Kumbalam (Ct),കുമ്പളം (സിടി),transliterated,628016,682506,,
Kerala,Idukki,556,Peerumade,5667,Kumily,കുമളി,authoritative,628110,685509,,
Kerala,Kollam,559,Kottarakkara,5687,Kummil,കുമ്മിൾ,authoritative,628427,691536,,
Kerala,Thrissur,566,Chavakkad,5653,Kundazhiyur,കുണ്ടഴിയൂർ,transliterated,627788,680616,,
Kerala,Kannur,557,Payyannur,6599,Kunhimangalam (Ct),കുഞ്ഞിമംഗലം (സിടി),transliterated,627220,670309,,
Kerala,Kasaragod,558,Manjeswaram,5932,Kunjathur (Ct),കുഞ്ഞത്തൂർ (സിടി),transliterated,627121,671323,,
Kerala,Kozhikode,561,Kozhikode,5640,Kunnamangalam (Ct),കുന്നമംഗലം (സിടി),transliterated,627426,673571,,
Kerala,Thrissur,566,Kunnamkulam,6598,Kunnamkulam,കുന്നംകുളം,authoritative,913642,680503,,
Kerala,Wayanad,567,Vythiri,5637,Kunnathidavaka,കുന്നതിടവക,transliterated,627335,673576,,
Kerala,Ernakulam,555,Kunnathunad,5657,Kunnathunad (Ct),കുന്നത്തുനാട് (സിടി),transliterated,627962,683565,,
Kerala,Kollam,559,Kunnathur,5685,Kunnathur,കുന്നത്തൂർ,authoritative,628377,690540,,
Kerala,Kozhikode,561,Vatakara,5638,Kunnummal (Ct),കുന്നുമ്മൽ (സിടി),transliterated,627356,673507,,
