State,District,District Code,Mandal,Mandal Code,Village,Village (Native),Village Code,Pincode,Category,Status
Andhra Pradesh,Polavaram,791,Rajavommangi,4888,Subbampadu,,586913,533436,Rural,Inhabitant
Andhra Pradesh,Kakinada,746,U.Kothapalli,4912,Subbampeta,,587493,533448,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Srikalahasti,5378,Subbanaidu -Khandriga,,595869,517641,Rural,Inhabitant
Andhra Pradesh,Vizianagaram,521,Bhogapuram,4840,Subbannapeta @ Pilakavani Agraharam,,583234,535216,Rural,Inhabitant
Andhra Pradesh,Sri Sathya Sai,754,Chilamathur,5366,Subbaraopet,,595589,515601,Rural,Inhabitant
Andhra Pradesh,Sri Sathya Sai,754,Dharmavaram,5336,Subbaraopeta,,595155,515672,Rural,Inhabitant
Andhra Pradesh,Ntr,749,Penuganchiprolu,4992,Subbayagudem,,588865,521190,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,G.Madugula,4848,Subbulu,,584835,531029,Rural,Inhabitant
Andhra Pradesh,Parvathipuram Manyam,743,Balijipeta,4815,Subhadra,,582288,535557,Rural,Inhabitant
Andhra Pradesh,East Godavari,505,Rangampeta,4909,Subhadrampeta,,587426,533291,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Laveru,4804,Subhadrapuram,,581617,532407,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Nandigam,4782,Subhadrapuram,,580646,532204,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Sarubujjili,4793,Subhadrapuram,,581187,532190,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Jalumuru,4792,Subrahamanya Puram,,581113,532427,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Balayapalli,5188,Subrahmanyam,,592400,524404,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Kumara Venkata Bhupala Puram,5382,Subramanya Puram,,595991,517587,Rural,Inhabitant
Andhra Pradesh,Markapuram,790,Podili,5120,Sudanagunta,,590965,523245,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Chinthapalli,4849,Suddagaruvu,,585182,531111,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Chinturu,4732,Suddagudem,,579175,533347,Rural,Inhabitant
Andhra Pradesh,Polavaram,791,Vararamachandrapuram,4733,Suddagudem,,579270,533349,Rural,Inhabitant
Andhra Pradesh,Chittoor,503,Peddapanjani,5416,Suddagundlapalle,,596573,517408,Rural,Inhabitant
Andhra Pradesh,Markapuram,790,Yerragondapalem,5097,Suddakunta Penta,,590520,523327,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Koyyuru,4851,Suddalapalem,,585648,531087,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Sullurpeta,5197,Suddamadugu Thagelu,,592725,524121,Rural,Inhabitant
Andhra Pradesh,Annamayya,753,Ramapuram,5241,Suddamalla,,593560,516504,Rural,Inhabitant
Andhra Pradesh,Nandyal,755,Uyyalawada,5302,Suddamalla,,594605,518155,Rural,Inhabitant
Andhra Pradesh,Sri Potti Sriramulu Nellore,515,Rapur,5175,Suddamalla,,592011,524408,Rural,Inhabitant
Andhra Pradesh,Guntur,506,Chebrolu,5079,Suddapalle,,590302,522213,Rural,Inhabitant
Andhra Pradesh,Y.S.R. Kadapa,504,Peddamudiam,5201,Suddapalle,,592871,516434,Rural,Inhabitant
Andhra Pradesh,Kurnool,511,Veldurthy,5278,Sudepalle,,594230,518222,Rural,Inhabitant
Andhra Pradesh,Parvathipuram Manyam,743,Parvathipuram,4812,Sudigam,,582165,535527,Rural,Inhabitant
Andhra Pradesh,East Godavari,505,Gokavaram,4897,Sudikonda,,587232,533285,Rural,Inhabitant
Andhra Pradesh,Anakapalli,744,K.Kotapadu,4860,Sudivalasa,,586028,535183,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Sullurpeta,5197,Suggupalle,,592729,524124,Rural,Inhabitant
Andhra Pradesh,Kurnool,511,Mantralayam,5250,Sugur,,593735,518349,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Munchingi Puttu,4841,Sujanakota,,583413,531040,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Munchingi Puttu,4841,Sujanakotapeta,,583371,531040,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Peda Bayalu,4842,Sujjari,,583776,531040,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Ananthagiri,4845,Sukuduputtu,సూకుడుపుట్టు,931005,531151,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Hukumpeta,4846,Sukuru,,584529,531077,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Araku Valley,4844,Sukuruguda,,584078,531149,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Paderu,4847,Sukuruputtu,,584654,531024,Rural,Inhabitant
Andhra Pradesh,Kurnool,511,Kowthalam,5252,Sulakeri,,593789,518333,Rural,Inhabitant
Andhra Pradesh,Alluri Sitharama Raju,745,Hukumpeta,4846,Sullipakoni,,584492,531077,Rural,Inhabitant
Andhra Pradesh,Tirupati,752,Sullurpeta,5197,Sulluru (Sullurpeta) (Ct),,592766,524121,Unmapped,Inhabitant
Andhra Pradesh,Tirupati,752,Sullurpeta,5197,Sulluru Japthikattubadi,,592744,524121,Unmapped,Inhabitant
Andhra Pradesh,Krishna,510,Machilipatnam South,5034,Sultanagaram,,909994,521003,Rural,Inhabitant
Andhra Pradesh,Krishna,510,Machilipatnam South,5034,Sultannagaram Gollapalem,,589714,521003,Rural,Inhabitant
Andhra Pradesh,Kurnool,511,Adoni,5271,Sulthanapuram,,594084,518302,Rural,Inhabitant
Andhra Pradesh,Kurnool,511,Holagunda,5272,Suluvoy,,594126,518346,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Laxminarasupeta,4787,Sumanthapuram @ Podugu Padu,,580913,532459,Rural,Inhabitant
Andhra Pradesh,Parvathipuram Manyam,743,Seethanagaram,4814,Sumitrapuram,,582247,535546,Rural,Inhabitant
Andhra Pradesh,Vizianagaram,521,Cheepurupalli,4827,Sumitrapuram,,582800,535125,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Meliaputti,4774,Sundarada,,580207,532213,Rural,Inhabitant
Andhra Pradesh,Vizianagaram,521,Therlam,4821,Sundarada,,582569,532122,Rural,Inhabitant
Andhra Pradesh,Parvathipuram Manyam,743,Parvathipuram,4812,Sundaranarayanapuram,సుందర నారాయణపురం,930481,535522,Unmapped,Inhabitant
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,K Gangavaram,4929,Sundarapalle,,587724,533306,Rural,Inhabitant
Andhra Pradesh,Parvathipuram Manyam,743,Komarada,4807,Sundarapuram,,581810,535521,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Narasannapeta,4799,Sundarapuram,,581424,532425,Rural,Inhabitant
Andhra Pradesh,Anakapalli,744,Kasimkota,4876,Sundarayyapeta,,586339,531031,Rural,Inhabitant
Andhra Pradesh,Srikakulam,519,Burja,4794,Sundarayyapeta,,581241,532445,Rural,Inhabitant
